customer_id,age,gender,city,customer_segment,campaign_id,campaign_channel,campaign_date,campaign_cost,impressions,clicks,conversions,revenue_generated,previous_purchases,days_since_last_purchase
CUST-02604,18,Male,Chicago,Loyal,CMP-012,SMS,2025-11-05,11.81,8888,878,149,22747.44,7,211
CUST-01533,43,Female,Los Angeles,Growing,CMP-007,Email,2025-06-06,18.86,9113,467,57,5333.46,3,79
CUST-04423,61,Female,Denver,At Risk,CMP-008,Paid Search,2025-07-14,38.43,9145,258,22,1707.46,2,151
CUST-01655,42,Male,Houston,Loyal,CMP-005,Affiliate,2025-04-18,23.53,8865,438,53,4629.88,8,139
CUST-04192,57,Non-binary,Houston,New,CMP-011,Affiliate,2025-10-10,19.22,9072,265,17,2199.54,0,116
CUST-04853,78,Female,Houston,At Risk,CMP-001,Email,2025-01-15,23.69,8989,377,30,2970.88,3,17
CUST-02937,41,Female,Atlanta,Loyal,CMP-004,Display,2025-03-28,23.24,8829,230,18,2819.58,4,70
CUST-00260,26,Male,Chicago,Loyal,CMP-012,SMS,2025-11-05,11.74,9152,931,152,25147.06,6,92
CUST-04568,58,Female,Seattle,New,CMP-006,SMS,2025-05-12,13.73,9039,541,54,6985.36,0,218
CUST-00433,49,Female,Houston,Growing,CMP-003,Social Media,2025-03-05,41.2,9128,304,27,2903.36,4,127
CUST-03441,61,Female,Houston,Growing,CMP-005,Affiliate,2025-04-18,22.17,8915,317,34,5504.04,2,205
CUST-04932,38,Female,Denver,At Risk,CMP-004,Display,2025-03-28,36.55,9104,122,6,422.06,5,80
CUST-03456,43,Female,Chicago,Loyal,CMP-007,Email,2025-06-06,26.24,9023,641,86,13514.03,6,61
CUST-03037,18,Female,Chicago,Loyal,CMP-003,Social Media,2025-03-05,41.81,9015,326,26,2757.25,5,186
CUST-02558,30,Male,Houston,Growing,CMP-005,Affiliate,2025-04-18,17.54,8925,322,33,5405.76,1,54
CUST-00793,45,Male,Denver,New,CMP-011,Affiliate,2025-10-10,28.15,8981,226,20,1883.53,0,304
CUST-04239,38,Female,Chicago,Growing,CMP-001,Email,2025-01-15,16.08,9011,480,54,7201.48,2,24
CUST-00290,35,Female,Chicago,New,CMP-010,Display,2025-09-16,36.25,9115,146,5,412.72,0,347
CUST-00830,26,Female,Denver,Loyal,CMP-001,Email,2025-01-15,20.19,8860,610,106,15990.68,9,35
CUST-03824,30,Male,Chicago,Loyal,CMP-006,SMS,2025-05-12,10.18,9016,902,134,16156.14,8,61
CUST-00308,24,Female,Chicago,Loyal,CMP-009,Social Media,2025-08-08,38.43,9135,341,42,5315.19,6,176
