customer_id,age,gender,city,customer_segment,campaign_id,campaign_channel,campaign_date,campaign_cost,impressions,clicks,conversions,revenue_generated,previous_purchases,days_since_last_purchase,click_through_rate,conversion_rate
CUST-02604,18,Male,Chicago,Loyal,CMP-012,SMS,2025-11-05,11.81,8888,878,149,22747.44,7,211,0.09878487848784878,0.16970387243735763
CUST-01533,43,Female,Los Angeles,Growing,CMP-007,Email,2025-06-06,18.86,9113,467,57,5333.46,3,79,0.05124547349939647,0.12205567451820129
CUST-04423,61,Female,Denver,At Risk,CMP-008,Paid Search,2025-07-14,38.43,9145,258,22,1707.46,2,151,0.028212137780207765,0.08527131782945736
CUST-01655,42,Male,Houston,Loyal,CMP-005,Affiliate,2025-04-18,23.53,8865,438,53,4629.88,8,139,0.049407783417935704,0.12100456621004566
CUST-04192,57,Non-binary,Houston,New,CMP-011,Affiliate,2025-10-10,19.22,9072,265,17,2199.54,0,116,0.029210758377425042,0.06415094339622641
CUST-04853,78,Female,Houston,At Risk,CMP-001,Email,2025-01-15,23.69,8989,377,30,2970.88,3,17,0.04194014907108688,0.07957559681697612
CUST-02937,41,Female,Atlanta,Loyal,CMP-004,Display,2025-03-28,23.24,8829,230,18,2819.58,4,70,0.026050515347151432,0.0782608695652174
CUST-00260,26,Male,Chicago,Loyal,CMP-012,SMS,2025-11-05,11.74,9152,931,152,25147.06,6,92,0.10172639860139861,0.16326530612244897
CUST-04568,58,Female,Seattle,New,CMP-006,SMS,2025-05-12,13.73,9039,541,54,6985.36,0,218,0.0598517535125567,0.09981515711645102
CUST-00433,49,Female,Houston,Growing,CMP-003,Social Media,2025-03-05,41.2,9128,304,27,2903.36,4,127,0.033304119193689745,0.08881578947368421
CUST-03441,61,Female,Houston,Growing,CMP-005,Affiliate,2025-04-18,22.17,8915,317,34,5504.04,2,205,0.03555804823331464,0.10725552050473186
CUST-04932,38,Female,Denver,At Risk,CMP-004,Display,2025-03-28,36.55,9104,122,6,422.06,5,80,0.013400702987697716,0.04918032786885246
CUST-03456,43,Female,Chicago,Loyal,CMP-007,Email,2025-06-06,26.24,9023,641,86,13514.03,6,61,0.07104067383353652,0.13416536661466458
CUST-03037,18,Female,Chicago,Loyal,CMP-003,Social Media,2025-03-05,41.81,9015,326,26,2757.25,5,186,0.036161952301719355,0.07975460122699386
CUST-02558,30,Male,Houston,Growing,CMP-005,Affiliate,2025-04-18,17.54,8925,322,33,5405.76,1,54,0.03607843137254902,0.10248447204968944
CUST-00793,45,Male,Denver,New,CMP-011,Affiliate,2025-10-10,28.15,8981,226,20,1883.53,0,304,0.02516423560850685,0.08849557522123894
CUST-04239,38,Female,Chicago,Growing,CMP-001,Email,2025-01-15,16.08,9011,480,54,7201.48,2,24,0.05326822772167351,0.1125
CUST-00290,35,Female,Chicago,New,CMP-010,Display,2025-09-16,36.25,9115,146,5,412.72,0,347,0.016017553483269335,0.03424657534246575
CUST-00830,26,Female,Denver,Loyal,CMP-001,Email,2025-01-15,20.19,8860,610,106,15990.68,9,35,0.06884875846501129,0.1737704918032787
