customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment
CUST-00001,1,4,17732.31,4,4,3,11,Champions
CUST-00002,1,5,19367.54,4,4,4,12,Champions
CUST-00003,223,2,3722.87,1,2,1,4,At Risk
CUST-00004,269,1,3536.1,1,1,1,3,At Risk
CUST-00005,1,2,24635.21,4,2,4,10,Growing
CUST-00006,153,1,2657.82,2,1,1,4,At Risk
CUST-00007,246,2,15538.42,1,2,3,6,Occasional
CUST-00008,51,1,2971.67,3,1,1,5,At Risk
CUST-00009,51,1,643.34,3,1,1,5,At Risk
CUST-00010,27,4,9862.34,4,4,2,10,Growing
CUST-00011,1,4,18786.44,4,4,3,11,Champions
CUST-00013,178,1,35715.94,1,1,4,6,Occasional
CUST-00014,1,1,6255.98,4,1,2,7,Occasional
CUST-00017,90,3,16246.64,3,3,3,9,Growing
CUST-00018,90,3,18246.46,3,3,3,9,Growing
CUST-00019,153,3,19008.87,2,3,3,8,Occasional
CUST-00020,115,3,15411.67,2,3,3,8,Occasional
CUST-00021,27,1,1930.81,4,1,1,6,Occasional
CUST-00022,223,2,4467.47,1,2,1,4,At Risk
CUST-00023,246,1,2662.07,1,1,1,3,At Risk
CUST-00024,1,1,5043.42,4,1,2,7,Occasional
CUST-00025,153,5,10769.880000000001,2,4,3,9,Growing
CUST-00026,51,4,40720.46,3,4,4,11,Champions
CUST-00027,90,1,2358.79,3,1,1,5,At Risk
CUST-00028,1,4,28538.309999999998,4,4,4,12,Champions
CUST-00029,178,1,7416.65,1,1,2,4,At Risk
CUST-00030,1,5,42081.42,4,4,4,12,Champions
CUST-00031,202,1,9888.24,1,1,2,4,At Risk
CUST-00032,51,3,6206.88,3,3,2,8,Occasional
CUST-00034,1,3,8918.939999999999,4,3,2,9,Growing
CUST-00035,27,3,4583.41,4,3,1,8,Occasional
CUST-00037,223,2,6214.31,1,2,2,5,At Risk
CUST-00038,51,3,18697.45,3,3,3,9,Growing
CUST-00039,295,1,3488.87,1,1,1,3,At Risk
CUST-00040,1,4,12334.2,4,4,3,11,Champions
CUST-00041,153,1,3537.34,2,1,1,4,At Risk
CUST-00042,269,1,1103.04,1,1,1,3,At Risk
CUST-00043,90,1,3395.11,3,1,1,5,At Risk
CUST-00044,1,3,8156.22,4,3,2,9,Growing
CUST-00045,115,1,3762.01,2,1,1,4,At Risk
CUST-00046,1,3,13670.34,4,3,3,10,Growing
CUST-00047,115,2,3957.7599999999998,2,2,1,5,At Risk
CUST-00048,51,1,1489.92,3,1,1,5,At Risk
CUST-00049,27,3,14928.76,4,3,3,10,Growing
CUST-00050,153,3,23390.67,2,3,4,9,Growing
CUST-00051,1,3,24425.14,4,3,4,11,Champions
CUST-00052,1,2,32221.68,4,2,4,10,Growing
CUST-00053,1,1,7977.18,4,1,2,7,Occasional
CUST-00054,27,3,9553.92,4,3,2,9,Growing
CUST-00055,27,5,9664.14,4,4,2,10,Growing
CUST-00056,51,2,6763.88,3,2,2,7,Occasional
CUST-00057,223,1,731.26,1,1,1,3,At Risk
CUST-00058,90,1,816.46,3,1,1,5,At Risk
CUST-00059,51,4,10605.02,3,4,3,10,Growing
CUST-00061,115,2,15249.35,2,2,3,7,Occasional
CUST-00062,51,2,230.38,3,2,1,6,Occasional
CUST-00063,51,4,16470.1,3,4,3,10,Growing
CUST-00064,269,2,11618.970000000001,1,2,3,6,Occasional
CUST-00065,1,4,26163.2,4,4,4,12,Champions
CUST-00066,1,2,9338.4,4,2,2,8,Occasional
CUST-00070,27,3,22333.899999999998,4,3,4,11,Champions
CUST-00072,153,1,15907.88,2,1,3,6,Occasional
CUST-00073,1,2,15698.32,4,2,3,9,Growing
CUST-00074,153,1,7790.85,2,1,2,5,At Risk
CUST-00075,90,2,6747.0199999999995,3,2,2,7,Occasional
CUST-00076,51,2,11579.64,3,2,3,8,Occasional
CUST-00077,1,2,17944.47,4,2,3,9,Growing
CUST-00078,178,1,17573.82,1,1,3,5,At Risk
CUST-00080,246,2,4190.96,1,2,1,4,At Risk
CUST-00081,115,1,2103.58,2,1,1,4,At Risk
CUST-00082,1,3,16036.91,4,3,3,10,Growing
CUST-00083,1,3,10268.73,4,3,2,9,Growing
CUST-00084,1,5,37320.18,4,4,4,12,Champions
CUST-00085,223,1,223.47,1,1,1,3,At Risk
CUST-00086,269,1,5552.42,1,1,2,4,At Risk
CUST-00087,115,2,26772.79,2,2,4,8,Occasional
CUST-00088,90,1,1848.01,3,1,1,5,At Risk
CUST-00089,246,2,3426.79,1,2,1,4,At Risk
CUST-00090,51,3,4387.85,3,3,1,7,Occasional
CUST-00091,1,4,7101.48,4,4,2,10,Growing
CUST-00092,115,3,5153.13,2,3,2,7,Occasional
CUST-00093,178,1,11993.48,1,1,3,5,At Risk
CUST-00094,115,3,6929.42,2,3,2,7,Occasional
CUST-00095,1,2,15013.630000000001,4,2,3,9,Growing
CUST-00096,27,1,2716.59,4,1,1,6,Occasional
CUST-00097,153,2,6398.84,2,2,2,6,Occasional
CUST-00098,115,2,14926.48,2,2,3,7,Occasional
CUST-00099,115,3,5111.68,2,3,2,7,Occasional
